text,sarcastic
I haven’t seen my best friend in over a year I am not coping well :((,0
"And you people whine at me about using personal insults (emoticonXCry )... anyhow, once a fetus is eight months, I believe, they are fully developed and ready for a premature birth. I was born prematurely, so don't tell me it doesn't happen. So if you get an abortion at eight months, you're not killing a fetus, you're killing a baby.",0
"Would you care to explain exactly what was lacking? For only a few minutes, that video was profoundly extensive, showing almost precisely how our eyes would have evolved.",0
"This tennis is hilariously fantastic to watch. So many finals are tight, cagey, error-strewn affairs. Not this one. #raducanufernandez #USOpen2021",0
"So, the Supreme Court rested its decision not on the 9th Amendment as the District Court had done, but chose instead to base it on the 14th Amendment.",0
So what? He made a statement on guns clearly and was well killed by one in the end...,1
"you calling me a diseased freak ?  oh , darling . thats okay . we will forever and ever be married . but now you have to buy me a new pillow",0
I’ve tasted and seen of the sweetest of loves. Where my heart becomes free and my shame is undone,0
"ok, so none can be shown. how many people with a life sentence without parole have died an prison and been innocent?  my point being that a mistake doesn't make the sentence not worth having. in fact, with the death penalty you get more due process than someone with a life sentence...there aren't many advocates for helping those guys out.",0
"Never thought of that. If that ""person"" has rights, do they have responsibilities? Could a fetus be charged for causing toxemia? How about suing the little tyke for giving mom varicose veins and stretch marks?",1
just a psa: you can be christian and still support basic human rights :),0
"lol, what did you mean by that? i'm not sure, and dont want to assume the tone you infer with. i thought it was funny but wanted to clarify. ps; i have never called anyone a 'fetus worshiper', although at least that label does not elicit the same evil connotations 'pr-abortion does'. @ simone, no worries hun :)",0
Well then it sounds like you don't even know what a SM is seeing as the 3rd one is the main one that people like you bring up when debating this isse.,0
"awwww, is little sliiiiiiicky still unhappy with the elections? kiss nancy again and cry on her shoulder we are tired of it. let her wipe your snot nose and have a nice hot cup of tea. :) emoticonxhoho while you are at it, exactly what is the difference between 'regulation' and 'restriction' ? i notice your dope sucking law didn't pass in kalifornia so is that going to stop you? iow, if you don't get caught it is all right? is that your standard for regulation or restriction?",1
"@ZacMitchell997 @LogoUzi @cmclymer Not sure what kind of work you do, but most companies do offer PTO as part of an employment package",0
Happy birthday Kayleigh!!! Hope you have a great day ❤️🎉 @_kayleighope,0
"Waxy:
Why are you standing by saying nothing while one of your own is continuing to show how ignorant he is by asserting Isochron was not used at KBS Tuff ?
Ray M.",1
How nice of tonsillitis to join me on my holiday 🖕🏻🖕🏻🖕🏻🖕🏻,1
"But not just any seven judges, seven judges who's job is to define the constitution.",0
"18 yr olds: *literally in the olympics* 
me: *just melted the bread bag onto the toaster*",0
"like in afghanistan? hopefully it will go a little better with this puppet, his own bodyguard was the latest in a slew of assasination attempts.",1
"But it does restrict criminal access to such items. And it has nothing to do with Tyranny. If a government feels that a certain measure will protect its people and society at the cost of restricting an item that is dangerous I can understand it. It is not tyranny, it is a government doing what it is supposed to. Again I personally disagree with the decision, but I do not believe it is anybodys 'right' to own a weapon nor do I equate such restrictions with extreme forms of government.",0
I wouls also add that humans have been able to make CHIHUAHUAs and Irish wolf hounds from wolves.,0
That should get the natives milling around looking for victims. Fundamentalist Christianity does not take kindly to criticism.,1
"he can't sin, get a teenage girl knocked up on a one night stand, but not sin. slaughter innocents personally or command his followers to do so but can't sin. oh yes he isn't very good at watching out for his kids. i mean look at adam and eve and then he got another chance with jesus and look how that turned out. and see above for other things he can't do.",1
"Oh, you are so, so naive.
How do you think Pat Robertson goes to visit his diamond mines? Economy class?",1
"So what's your point, Bush is as Liberal as the most Liberal Senator in Congress?
",1
"Actually, it's not conjecture. The genetic makeup of the several subspecies of arctic foxes bear it out. The dominant allele is rare because it is less adaptive. The dominant allele is most likely ancestral. But even foxes below the Arctic circle show differences in their fur between summer and winter. So yes, foxes that were able to change color in the north had a differential reproductive advantage over those who couldn't.",0
you're fucking kidding me right? you do realize no matter which one of us is right it's still fucked up right?  god flat out blatantly allowed satan to torment job and kill people.  and you justify that by saying he was given a new family?! oh yeah they gave him a new wife and new kids that makes it allllllll better. just replace those god allowed to be killed for some stupid test. fucking christians and their fucked up twisted morality.,1
my greatest downfall is having an upset stomach then eating spicy food to make it worse.,0
"everyone gets all hyped about ancient debris, but where's my modern debris?",0
"I guess he was a ""democrat"" as well. He certainly would not have been a republican.",1
Love that someone broke into my car this morning,1
"Exactly, they are big on condeming the sins of those other guys. It makes them feel better about themselves. Also, it is always a good idea to have a vitriolic campaign about something that will never change so they will always have an enemy - homos are not going to disappear, abortion will never be made illegal. That's how the religious right recruits folks - get 'em all indignant about the ""others"" and they never notice they are being fleeced by the fat little pastor.",1
"Problem is, you think requiring a woman not to kill someone is ""treating them as breeding animals"". Kind of an odd thought.",0
Quarentine would be so much better if I had a dog,0
"Just witnessed [in person] a beautiful murmuration. Stunning.

❤",0
"i'm pretty sure you're joking... but still, if one has the power to acquire and manipulate knowledge sufficiently well, then one can learn to protect himself from bombs and such. my house was recently afflicted by ants. massive amounts of ants. yet their numbers did not amount to much after the strategic placement of a few of these.",0
I hate that I wasted my whole weekend 😠,0
"i'm not saying most species aren't gay, i'm saying most don't have free will... more the question is, how differently do they have to be affected to generate different sexual preferences? maybe even only slight differences can create gayness. i don't think it's a simple choice like that, 'gay or straight'",0
"So you for strict regulation of business but not people? Interesting...do you know who runs businesses? Yeah, people.",1
You mean to tell me it's a falsehood??   I don't believe it.,0
"Actually, evolution occurs on the level of the population: individuals don't change, but populations do. See the examples above.",0
...Because everyone knows there are no married men sexually abusing children. emoticonXConfused,1
"I do not argue so much the quality of llife of an individual woman but more for the quality of life, indeed of having access to life itself, of the children of the woman involved, because in many situations the concern and nurturance of a mother may be the only thing keeping children alive, especially in poor, war-torn nations that do not enjoy the relative wealth of the United States.",0
"i just told you how. if you want to change your gender, then go ahead... but comparing it to changing clothes is just idiotic.  oh yeah! i forgot, you already think the entire human race is stupid... so i guess you have an excuse.",1
So it's your contention that hundreds of thousands of firearms stolen from residences annually is just par for the course?,1
I still haven't seen an adequate rebuttal to this. Why can't people marry themselves if they are in love with themselves?  I must have missed your response.,1
"Right, expect when talking about the 14th amendment. The way you guys like to define ""equal protection"" would make it so any restriction is unequal.",1
"Well... someone hasn't been following the campaigns for the so-called ""protection of marriage"" amendments, federal or state.",0
"As my guilty pleasure is Twilight, I would just like to state that Midnight Sun was absolute trash. It’s basically 600+ pages about how horny Edward is for her blood and how much he hates Mike. And lots of word dump. Definitely not worth the wait..",0
I see no mention below of any judges in Mass.,0
"mutzie, darling, is it absolutely necessary for a warrior to run with an m240 bravo while under fire, and also carrying a 70-pound pack. surely, warfare can be competently sized down so that 80-females can be deadly.",1
Best performance in a while. Absolute cracker today. Think @benbreo deserved mom #NFFC,0
"And some of us are so hung up on stereotyping, emotionally charged rhetoric that they will never be able to accomplish one thing to address the abortion issue.",0
"wow, your sex life is based on relativity? i assumed you were quick, but not that bad.",1
What happened to unbiased journalism @SkyNews?,1
"If we did not have criminals, we wouldnt have ""shoot outs"" as you so call them.",1
yo ima hott mess but at least i’m hott,0
Unpacking is the bane of my life,0
just wondering how to get my diss down by 1500 words .. such fun,1
"It is horribly oppressive of women, though, to oppose both abortion and contraceptives. That means that women will have no control over their pregnancies at all.",0
"Strawman. The argument is not to do whatever one wishes with ones body. The argument is soley that one does not have to have another attached, ever, against ones will.",0
"this is another one of your pure strawmen. why should i defend a bill that i'm neither supporting or completely condemning? the subject of this thread is senate amendment 2837, which is based on two pieces of legislation i have linked more than once on this board, inviting you to read and respond to it. neither of which are thousands of pages long. one less than 30 pages, and the other less than 200. you read those bills, and discuss the subject of the thread, which is senate amendment 2837. supported by 2/3rds of americans -- that is, what you call, like a nitwit, a 'plan for national socialism.' you wouldn't know 'national socialism' if it hit you upside the head, ali.",0
"by 'church' ... do you mean the group of people who are christian (ie. congregation) ? the institution of church? to orthodox, the church is a living earthly embodiment of jesus christ. the role of orthodox is to be like god... by following his example. we are called to return to him, but we are separated from him by sin. we are living icons of god.",0
"I guess I am just ""psychologically conditioned"" to be blue eyed.?",1
Are you serious? Man I thought you actually had a brain in that dense hollow cranium of yours. You do realize there are Straight Atheists and GAY Christians right Gans?,1
What’s in the pollen this year bcos this hayfever is up in my GRILL,0
"Your stats aren't broken down into meaningful groups, so nothing is learned WRT Muslims.",0
My favorite thing is that literally ONLY my @Walmart says I have to have a prescription for syringes that I've been getting OTC for years. This is the kind of shit diabetics are facing.,0
"Intelligent design is a recent concept (not associated with any one religion) and it hasn't had over 100 years to be studied. Why not start now? It can't happen if we block it from future generations. Why not give it a chance, study it, search for evidence, and offer it up for peer review? What are you afraid of? That it can mathematically rule out previous evolutionary theories?",0
Repeatedly saying “I’m the least racist person in this room” is a great indication that you are racist #Debates2020,0
"One plants seeds in a debate. Get people to think. This is why you see relatively few creationists on these boards.   Not because they don't know how to think (some are quite intelligent), but because they don't have a plausible theory to support their ideas. Thinking is the enemy for them, until they can work out a theory.",0
